rally,round,team,receive_location,digger_location,pass_land_location,hitter_location,hit_land_location,pass_rating,set_type,set_location,hit_type,num_blockers,block_touch,serve_type,win_reason,lose_reason,winning_team
1.0,1.0,b,4.0,4.0,13.0,13.0,7.0,in,in,quick,off_speed,2.0,no,jump,,,a
1.0,2.0,a,7.0,6.0,3.0,11.0,17.0,out,out,oppo,hit,3.0,no,,,,a
1.0,3.0,b,6.0,6.0,21.0,25.0,13.0,out,out,outside,free_ball,0.0,no,,,,a
1.0,4.0,a,13.0,13.0,13.0,15.0,4.0,in,in,outside,hit,1.0,no,,,,a
1.0,5.0,b,9.0,9.0,3.0,15.0,4.0,out,out,outside,hit,3.0,yes,,,,a
1.0,6.0,a,4.0,4.0,3.0,12.0,5.0,in,in,bic,hit,2.0,yes,,,,a
1.0,7.0,b,10.0,10.0,3.0,15.0,8.0,out,out,outside,roll_shot,2.0,no,,,,a
1.0,8.0,a,8.0,6.0,8.0,11.0,11.0,out,out,oppo,off_speed,3.0,no,,kill,kill,a
2.0,1.0,b,3.0,3.0,13.0,14.0,2.0,in,in,quick,off_speed,2.0,no,jump,kill,kill,b
3.0,1.0,a,2.0,2.0,12.0,11.0,11.0,in,in,oppo,hit,2.0,yes,jump,,,a
3.0,2.0,b,12.0,12.0,12.0,13.0,19.0,in,in,bic,hit,3.0,no,,hit_error,hit_error,a
4.0,1.0,b,,,,,,,,,,,,jump,serve_error,serve_error,b
5.0,1.0,a,7.0,8.0,13.0,14.0,6.0,in,in,quick,hit,2.0,no,float,kill,kill,a
6.0,1.0,b,4.0,3.0,26.0,15.0,20.0,out,out,outside,hit,3.0,no,jump,hit_error,hit_error,a
7.0,1.0,b,5.0,5.0,7.0,15.0,22.0,in,in,outside,hit,2.0,yes,jump,tool,tool,b
8.0,1.0,a,3.0,3.0,12.0,15.0,5.0,in,in,outside,hit,2.0,no,jump,kill,kill,a
9.0,1.0,b,8.0,8.0,8.0,15.0,21.0,out,out,outside,hit,3.0,no,float,hit_error,hit_error,a
10.0,1.0,b,9.0,8.0,13.0,14.0,10.0,in,in,quick,hit,2.0,no,float,kill,kill,b
11.0,1.0,a,2.0,2.0,12.0,14.0,12.0,in,in,quick,tip,1.0,no,jump,,,b
11.0,2.0,b,12.0,11.0,4.0,15.0,16.0,out,out,outside,hit,3.0,yes,,tool,tool,b
12.0,1.0,a,4.0,4.0,19.0,,,,,,,,,jump,ace,ace,b
13.0,1.0,a,,,,,,,,,,,,jump,serve_error,serve_error,a
14.0,1.0,b,6.0,7.0,12.0,15.0,5.0,in,in,outside,hit,2.0,yes,jump,,,b
14.0,2.0,a,9.0,9.0,23.0,13.0,6.0,out,out,oppo,free_ball,0.0,no,,,,b
14.0,3.0,b,7.0,6.0,12.0,12.0,9.0,in,in,quick,hit,1.0,no,,kill,kill,b
15.0,1.0,a,8.0,8.0,13.0,11.0,8.0,in,in,oppo,hit,1.0,yes,float,,,b
15.0,2.0,b,8.0,8.0,12.0,11.0,3.0,in,in,d-ball,hit,2.0,no,,kill,kill,b
16.0,1.0,a,8.0,8.0,13.0,14.0,12.0,in,in,quick,hit,2.0,yes,float,kill,kill,a
17.0,1.0,b,,,,,,,,,,,,jump,serve_error,serve_error,b
18.0,1.0,a,4.0,5.0,13.0,15.0,4.0,out,out,outside,hit,2.0,no,jump,kill,kill,a
19.0,1.0,b,9.0,9.0,13.0,13.0,13.0,in,in,quick,tip,0.0,no,jump,hit_error,hit_error,a
20.0,1.0,b,3.0,2.0,12.0,11.0,15.0,in,in,oppo,hit,2.0,yes,jump,,,a
20.0,2.0,a,15.0,,,,11.0,,,,tip,0.0,no,,,,a
20.0,3.0,b,11.0,11.0,8.0,15.0,15.0,out,out,outside,roll_shot,1.0,no,,hit_error,hit_error,a
21.0,1.0,b,2.0,2.0,7.0,15.0,4.0,out,out,outside,hit,2.0,no,jump,,,b
21.0,2.0,a,4.0,9.0,,,,out,,,free_ball,0.0,no,,,,b
21.0,3.0,b,15.0,15.0,13.0,11.0,26.0,out,out,oppo,hit,2.0,yes,,tool,tool,b
22.0,1.0,a,,,,,,,,,,,,jump,serve_error,serve_error,a
23.0,1.0,b,,,,,,,,,,,,jump,serve_error,serve_error,b
24.0,1.0,a,7.0,7.0,13.0,14.0,10.0,in,in,quick,hit,2.0,no,float,kill,kill,a
25.0,1.0,b,4.0,5.0,13.0,14.0,2.0,in,in,quick,hit,2.0,no,jump,kill,kill,b
26.0,1.0,a,,,,,,,,,,,,jump,serve_error,serve_error,a
27.0,1.0,b,9.0,9.0,13.0,15.0,19.0,in,in,outside,hit,2.0,yes,float,,,a
27.0,2.0,a,6.0,19.0,11.0,15.0,6.0,in,in,outside,hit,2.0,no,,,,a
27.0,3.0,b,6.0,6.0,,,26.0,out,out,d-ball,free_ball,0.0,no,,hit_error,hit_error,a
28.0,1.0,b,10.0,9.0,12.0,11.0,12.0,in,in,d-ball,hit,2.0,yes,float,,,a
28.0,2.0,a,12.0,,,,,,,outside,tip,0.0,no,,kill,kill,a
29.0,1.0,b,3.0,3.0,,,13.0,out,,,overpass,0.0,no,hybrid,,,a
29.0,2.0,a,13.0,13.0,13.0,15.0,14.0,in,in,quick,overpass,1.0,no,,kill,kill,a
30.0,1.0,b,10.0,9.0,14.0,14.0,13.0,in,in,quick,hit,3.0,yes,float,,,b
30.0,2.0,a,14.0,13.0,9.0,11.0,17.0,out,out,oppo,hit,1.0,no,,hit_error,hit_error,b
31.0,1.0,a,3.0,3.0,13.0,13.0,4.0,in,in,quick,hit,2.0,no,jump,,,b
31.0,2.0,b,9.0,8.0,6.0,8.0,2.0,out,out,quick,hit,3.0,no,,,,b
31.0,3.0,a,3.0,3.0,9.0,11.0,6.0,in,in,oppo,hit,2.0,no,,,,b
31.0,4.0,b,6.0,7.0,11.0,12.0,15.0,out,out,quick,tip,2.0,no,,,,b
31.0,5.0,a,10.0,15.0,15.0,6.0,12.0,out,out,oppo,hit,1.0,no,,hit_error,hit_error,b
32.0,1.0,a,2.0,2.0,12.0,15.0,,in,in,outside,hit,2.0,no,jump,,,a
32.0,2.0,b,3.0,3.0,12.0,15.0,,in,in,outside,roll_shot,2.0,no,,,,a
32.0,3.0,a,6.0,6.0,13.0,14.0,,in,in,bic,hit,2.0,no,,kill,kill,a
33.0,1.0,b,6.0,7.0,13.0,15.0,9.0,in,in,outside,hit,2.0,no,jump,,,b
33.0,2.0,a,9.0,9.0,,,26.0,,,,,,,,hit_error,hit_error,b
34.0,1.0,a,3.0,3.0,13.0,14.0,11.0,out,out,bic,tip,0.0,no,jump,,,a
34.0,2.0,b,11.0,11.0,12.0,15.0,3.0,out,out,outside,off_speed,3.0,no,,,,a
34.0,3.0,a,3.0,8.0,7.0,15.0,6.0,in,in,outside,off_speed,2.0,no,,,,a
34.0,4.0,b,6.0,6.0,13.0,15.0,6.0,out,out,outside,roll_shot,2.0,no,,,,a
34.0,5.0,a,6.0,6.0,8.0,11.0,15.0,out,out,outside,hit,2.0,yes,,,,a
34.0,6.0,b,4.0,3.0,13.0,11.0,3.0,in,in,oppo,hit,2.0,no,,,,a
34.0,7.0,a,3.0,3.0,8.0,14.0,4.0,in,in,outside,hit,2.0,no,,kill,kill,a
35.0,1.0,b,2.0,3.0,12.0,15.0,10.0,in,in,outside,hit,2.0,no,jump,,,b
35.0,2.0,a,9.0,9.0,10.0,11.0,1.0,out,out,oppo,off_speed,1.0,no,,,,b
35.0,3.0,b,7.0,7.0,13.0,15.0,,in,in,outside,hit,2.0,yes,,tool,tool,b
36.0,1.0,a,9.0,9.0,14.0,14.0,,in,in,quick,blocked,2.0,yes,jump,,,a
36.0,3.0,a,15.0,14.0,14.0,11.0,1.0,in,in,oppo,hit,1.0,no,,,,a
36.0,4.0,b,7.0,7.0,,,8.0,out,,,overpass,0.0,no,,,,a
36.0,5.0,a,8.0,8.0,12.0,15.0,7.0,in,in,outside,hit,2.0,no,,kill,kill,a
37.0,1.0,b,10.0,4.0,14.0,15.0,11.0,in,in,outside,blocked,2.0,yes,jump,,,b
37.0,3.0,b,15.0,15.0,14.0,15.0,26.0,out,out,outside,hit,2.0,yes,,tool,tool,b
38.0,1.0,a,4.0,5.0,12.0,13.0,23.0,in,in,quick,hit,2.0,yes,jump,tool,tool,a
39.0,1.0,b,3.0,3.0,13.0,15.0,21.0,in,in,outside,hit,2.0,no,jump,hit_error,hit_error,a
40.0,1.0,b,2.0,1.0,13.0,13.0,,in,in,quick,hit,0.0,no,jump,,,a
40.0,2.0,a,1.0,6.0,,14.0,20.0,out,,outside,hit,1.0,yes,,tool,tool,a
41.0,1.0,b,4.0,3.0,6.0,16.0,3.0,out,out,oppo,hit,2.0,no,jump,hit_error,hit_error,a
42.0,1.0,b,2.0,3.0,19.0,8.0,5.0,out,out,bic,hit,2.0,no,jump,kill,kill,b
43.0,1.0,a,,,,,,,,,,,,jump,serve_error,serve_error,a
44.0,1.0,b,3.0,3.0,,,12.0,out,,bic,overpass,0.0,no,jump,,,a
44.0,2.0,a,12.0,,,12.0,14.0,,,quick,hit,2.0,yes,,tool,tool,a
45.0,1.0,a,3.0,3.0,13.0,14.0,1.0,in,in,bic,hit,2.0,no,jump,,,a
45.0,2.0,b,6.0,6.0,9.0,26.0,13.0,out,out,outside,roll_shot,0.0,no,,,,a
45.0,3.0,a,13.0,13.0,13.0,15.0,9.0,in,in,outside,hit,2.0,no,,kill,kill,a
46.0,1.0,b,1.0,2.0,13.0,15.0,26.0,in,in,outside,hit,2.0,yes,jump,tool,tool,b
47.0,1.0,a,7.0,6.0,13.0,15.0,13.0,out,out,outside,hit,2.0,yes,float,,,b
47.0,2.0,b,13.0,13.0,8.0,11.0,1.0,out,out,oppo,hit,2.0,no,,,,b
47.0,3.0,a,8.0,8.0,4.0,15.0,21.0,out,out,outside,hit,2.0,no,,hit_error,hit_error,b
48.0,1.0,a,6.0,6.0,12.0,15.0,25.0,in,in,outside,hit,2.0,no,float,,,b
48.0,2.0,b,10.0,10.0,12.0,14.0,17.0,out,out,outside,blocked,2.0,yes,,,,b
48.0,4.0,b,11.0,11.0,13.0,13.0,2.0,in,in,bic,off_speed,2.0,no,,,,b
48.0,5.0,a,,,,,,,,,,,,,net,net,b
49.0,1.0,a,7.0,7.0,12.0,13.0,5.0,in,in,quick,hit,2.0,yes,float,,,a
49.0,2.0,b,10.0,10.0,8.0,11.0,21.0,in,in,oppo,hit,2.0,no,,hit_error,hit_error,a
50.0,1.0,b,3.0,3.0,11.0,15.0,17.0,in,in,outside,hit,1.0,yes,jump,tool,tool,b
51.0,1.0,a,3.0,3.0,11.0,,,in,,,blocked,,,jump,,,b
51.0,3.0,a,11.0,11.0,7.0,9.0,,out,out,outside,hit,2.0,no,,,,b
51.0,4.0,b,4.0,3.0,20.0,25.0,,out,out,outside,free_ball,0.0,no,,,,b
51.0,5.0,a,13.0,13.0,13.0,11.0,18.0,in,in,oppo,hit,2.0,no,,hit_error,hit_error,b
52.0,1.0,a,3.0,3.0,12.0,15.0,5.0,in,in,outside,blocked,2.0,yes,jump,blocked,blocked,b
53.0,1.0,a,3.0,3.0,13.0,13.0,5.0,in,in,quick,hit,1.0,no,jump,kill,kill,a
54.0,1.0,b,8.0,3.0,12.0,14.0,7.0,in,in,quick,hit,2.0,no,float,kill,kill,b
55.0,1.0,a,2.0,2.0,6.0,15.0,,out,out,outside,off_speed,3.0,yes,jump,,,a
55.0,2.0,b,4.0,4.0,13.0,15.0,5.0,in,in,outside,hit,2.0,no,,,,a
55.0,3.0,a,9.0,9.0,13.0,11.0,5.0,in,in,oppo,hit,2.0,no,,net,net,a
56.0,1.0,b,8.0,7.0,13.0,14.0,7.0,in,in,quick,hit,2.0,no,jump,kill,kill,b
57.0,1.0,a,8.0,8.0,14.0,15.0,9.0,in,in,outside,hit,2.0,no,float,kill,kill,a
58.0,1.0,b,2.0,2.0,13.0,14.0,1.0,in,in,quick,hit,1.0,no,jump,kill,kill,b
59.0,1.0,a,10.0,9.0,3.0,11.0,18.0,out,out,oppo,hit,3.0,no,jump,hit_error,hit_error,b
60.0,1.0,a,4.0,4.0,13.0,14.0,16.0,in,in,quick,hit,2.0,yes,jump,tool,tool,a
61.0,1.0,b,4.0,4.0,14.0,14.0,8.0,in,in,quick,hit,2.0,no,jump,kill,kill,b
62.0,1.0,a,3.0,3.0,11.0,13.0,,in,in,quick,hit,2.0,no,jump,,,a
62.0,2.0,b,2.0,3.0,,,19.0,,,,,,,,hit_error,hit_error,a
63.0,1.0,b,2.0,2.0,12.0,11.0,3.0,in,in,oppo,hit,2.0,no,jump,,,b
63.0,2.0,a,3.0,3.0,,,8.0,,,,free_ball,0.0,no,,,,b
63.0,3.0,b,8.0,8.0,13.0,15.0,3.0,in,in,outside,hit,2.0,no,,,,b
63.0,4.0,a,3.0,3.0,14.0,14.0,,in,in,outside,hit,2.0,no,,net,net,b
64.0,1.0,a,8.0,7.0,9.0,15.0,2.0,out,out,outside,hit,2.0,yes,float,,,a
64.0,2.0,b,2.0,3.0,9.0,15.0,3.0,out,out,outside,hit,2.0,no,,,,a
64.0,3.0,a,3.0,3.0,8.0,11.0,7.0,out,out,oppo,hit,2.0,no,,,,a
64.0,4.0,b,7.0,7.0,1.0,14.0,4.0,out,out,outside,hit,3.0,yes,,,,a
64.0,5.0,a,4.0,4.0,14.0,15.0,,in,in,outside,blocked,2.0,yes,,,,a
64.0,7.0,a,15.0,15.0,10.0,7.0,7.0,out,out,oppo,off_speed,2.0,yes,,,,a
64.0,8.0,b,7.0,6.0,9.0,11.0,13.0,out,out,oppo,roll_shot,2.0,no,,,,a
64.0,9.0,a,13.0,7.0,9.0,15.0,,out,out,outside,blocked,2.0,yes,,,,a
64.0,11.0,a,13.0,13.0,9.0,15.0,3.0,out,out,outside,off_speed,2.0,yes,,kill,kill,a
65.0,1.0,b,4.0,4.0,,,26.0,,,,,,,jump,hit_error,hit_error,a
66.0,1.0,b,5.0,4.0,13.0,15.0,,in,in,outside,blocked,2.0,yes,jump,blocked,blocked,a
67.0,1.0,b,3.0,3.0,13.0,14.0,11.0,in,in,quick,roll_shot,2.0,no,jump,kill,kill,b
68.0,1.0,a,3.0,3.0,13.0,13.0,6.0,in,in,bic,hit,0.0,no,jump,,,b
68.0,2.0,b,6.0,7.0,25.0,25.0,8.0,out,out,outside,off_speed,3.0,no,,,,b
68.0,3.0,a,8.0,8.0,12.0,12.0,3.0,in,in,quick,hit,2.0,no,,,,b
68.0,4.0,b,3.0,3.0,13.0,,13.0,out,,,tip,0.0,no,,,,b
68.0,5.0,a,13.0,13.0,,,13.0,,,,overpass,0.0,no,,,,b
68.0,6.0,b,13.0,13.0,,13.0,12.0,,,quick,tip,1.0,no,,kill,kill,b
69.0,1.0,a,3.0,3.0,12.0,15.0,10.0,in,in,outside,hit,1.0,no,jump,kill,kill,a
70.0,1.0,b,9.0,3.0,13.0,15.0,8.0,in,in,outside,hit,1.0,no,float,kill,kill,b
71.0,1.0,a,,,,,,,,,,,,jump,serve_error,serve_error,a
72.0,1.0,b,,,,,,,,,,,,jump,serve_error,serve_error,b
73.0,1.0,a,7.0,8.0,6.0,15.0,3.0,out,out,outside,hit,3.0,yes,float,,,b
73.0,2.0,b,3.0,9.0,13.0,11.0,,in,in,oppo,hit,1.0,yes,,tool,tool,b
74.0,1.0,a,8.0,8.0,13.0,13.0,9.0,in,in,quick,hit,1.0,no,float,,,a
74.0,2.0,b,9.0,9.0,,11.0,,,,,tip,0.0,no,,net,net,a
75.0,1.0,b,4.0,3.0,12.0,11.0,8.0,in,in,oppo,hit,2.0,no,jump,,,a
75.0,2.0,a,8.0,8.0,23.0,15.0,6.0,out,out,outside,off_speed,3.0,no,,,,a
75.0,3.0,b,6.0,6.0,12.0,15.0,20.0,in,in,outside,off_speed,2.0,no,,hit_error,hit_error,a
76.0,1.0,b,4.0,4.0,13.0,15.0,9.0,in,in,outside,hit,2.0,no,jump,kill,kill,a
77.0,1.0,b,3.0,3.0,13.0,14.0,6.0,in,in,quick,hit,2.0,yes,jump,,,a
